jahr;monat;tourismusjahr;tourismushalbjahr;tourismusregion;ankuenfte;uebernachtungen
2021;12;2021/22;WHJ;Wörthersee/Rosental;3921;12835
2021;2 ;2020/21;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;693;3124
2021;2 ;2020/21;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;521;2717
2021;2 ;2020/21;WHJ;Katschberg/Lieser- und Maltatal;150;727
2021;2 ;2020/21;WHJ;Klopeiner See – Südkärnten/Lavanttal;1794;16843
2021;2 ;2020/21;WHJ;Kärnten-Mitte;1183;17995
2021;2 ;2020/21;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;449;3483
2021;2 ;2020/21;WHJ;Region Klagenfurt;3455;7510
2021;2 ;2020/21;WHJ;Region Villach;4968;32445
2021;2 ;2020/21;WHJ;Wörthersee/Rosental;1040;6866
2021;3 ;2020/21;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;1051;4555
2021;3 ;2020/21;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;656;2904
2021;3 ;2020/21;WHJ;Katschberg/Lieser- und Maltatal;144;644
2021;3 ;2020/21;WHJ;Klopeiner See – Südkärnten/Lavanttal;2979;23829
2021;3 ;2020/21;WHJ;Kärnten-Mitte;1536;21240
2021;3 ;2020/21;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;427;3873
2021;3 ;2020/21;WHJ;Region Klagenfurt;4210;8530
2021;3 ;2020/21;WHJ;Region Villach;5776;39746
2021;3 ;2020/21;WHJ;Wörthersee/Rosental;1868;9141
2021;4 ;2020/21;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;1116;5006
2021;4 ;2020/21;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;573;2831
2021;4 ;2020/21;WHJ;Katschberg/Lieser- und Maltatal;128;438
2021;4 ;2020/21;WHJ;Klopeiner See – Südkärnten/Lavanttal;2721;20988
2021;4 ;2020/21;WHJ;Kärnten-Mitte;1690;20925
2021;4 ;2020/21;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;425;3901
2021;4 ;2020/21;WHJ;Region Klagenfurt;4196;8839
2021;4 ;2020/21;WHJ;Region Villach;4851;33234
2021;4 ;2020/21;WHJ;Wörthersee/Rosental;1777;9333
2021;5 ;2020/21;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;15567;51165
2021;5 ;2020/21;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;4055;14049
2021;5 ;2020/21;SHJ;Katschberg/Lieser- und Maltatal;4895;15724
2021;5 ;2020/21;SHJ;Klopeiner See – Südkärnten/Lavanttal;10575;85796
2021;5 ;2020/21;SHJ;Kärnten-Mitte;3956;28149
2021;5 ;2020/21;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;9917;38237
2021;5 ;2020/21;SHJ;Region Klagenfurt;7201;14649
2021;5 ;2020/21;SHJ;Region Villach;19726;80012
2021;5 ;2020/21;SHJ;Wörthersee/Rosental;17336;57697
2021;6 ;2020/21;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;47674;186736
2021;6 ;2020/21;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;17577;55742
2021;6 ;2020/21;SHJ;Katschberg/Lieser- und Maltatal;10976;40596
2021;6 ;2020/21;SHJ;Klopeiner See – Südkärnten/Lavanttal;28412;189572
2021;6 ;2020/21;SHJ;Kärnten-Mitte;7865;40922
2021;6 ;2020/21;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;34166;153507
2021;6 ;2020/21;SHJ;Region Klagenfurt;15248;34169
2021;6 ;2020/21;SHJ;Region Villach;60967;250813
2021;6 ;2020/21;SHJ;Wörthersee/Rosental;57252;214919
2021;7 ;2020/21;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;93458;445315
2021;7 ;2020/21;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;45455;174908
2021;7 ;2020/21;SHJ;Katschberg/Lieser- und Maltatal;25221;101314
2021;7 ;2020/21;SHJ;Klopeiner See – Südkärnten/Lavanttal;55089;344928
2021;7 ;2020/21;SHJ;Kärnten-Mitte;14260;74027
2021;7 ;2020/21;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;71037;387588
2021;7 ;2020/21;SHJ;Region Klagenfurt;32882;82119
2021;7 ;2020/21;SHJ;Region Villach;124716;568808
2021;7 ;2020/21;SHJ;Wörthersee/Rosental;95653;442065
2021;8 ;2020/21;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;110537;590917
2021;8 ;2020/21;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;57847;243383
2021;8 ;2020/21;SHJ;Katschberg/Lieser- und Maltatal;31228;140646
2021;8 ;2020/21;SHJ;Klopeiner See – Südkärnten/Lavanttal;58152;386566
2021;8 ;2020/21;SHJ;Kärnten-Mitte;16887;88474
2021;8 ;2020/21;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;83395;500080
2021;8 ;2020/21;SHJ;Region Klagenfurt;38123;100137
2021;8 ;2020/21;SHJ;Region Villach;141859;685989
2021;8 ;2020/21;SHJ;Wörthersee/Rosental;99992;495632
2021;9 ;2020/21;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;61131;255932
2021;9 ;2020/21;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;23649;81201
2021;9 ;2020/21;SHJ;Katschberg/Lieser- und Maltatal;16438;61106
2021;9 ;2020/21;SHJ;Klopeiner See – Südkärnten/Lavanttal;25044;184476
2021;9 ;2020/21;SHJ;Kärnten-Mitte;9544;46016
2021;9 ;2020/21;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;39468;192289
2021;9 ;2020/21;SHJ;Region Klagenfurt;24700;55485
2021;9 ;2020/21;SHJ;Region Villach;83014;308860
2021;9 ;2020/21;SHJ;Wörthersee/Rosental;61166;233864
2022;1 ;2021/22;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;30657;132372
2022;1 ;2021/22;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;9932;50115
2022;1 ;2021/22;WHJ;Katschberg/Lieser- und Maltatal;9088;43929
2022;1 ;2021/22;WHJ;Klopeiner See – Südkärnten/Lavanttal;5148;30188
2022;1 ;2021/22;WHJ;Kärnten-Mitte;2758;25314
2022;1 ;2021/22;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;39616;176402
2022;1 ;2021/22;WHJ;Region Klagenfurt;5614;12124
2022;1 ;2021/22;WHJ;Region Villach;14169;67539
2022;1 ;2021/22;WHJ;Wörthersee/Rosental;2404;10732
2022;10;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;26354;89401
2022;10;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;6475;23440
2022;10;2021/22;SHJ;Katschberg/Lieser- und Maltatal;11054;42361
2022;10;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;10934;46402
2022;10;2021/22;SHJ;Kärnten-Mitte;7359;36900
2022;10;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;14084;54574
2022;10;2021/22;SHJ;Region Klagenfurt;17112;31544
2022;10;2021/22;SHJ;Region Villach;34356;114358
2022;10;2021/22;SHJ;Wörthersee/Rosental;17205;45787
2022;11;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;8167;23252
2022;11;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;3458;12975
2022;11;2022/23;WHJ;Katschberg/Lieser- und Maltatal;1605;5657
2022;11;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;6400;30159
2022;11;2022/23;WHJ;Kärnten-Mitte;4754;29356
2022;11;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;3751;16085
2022;11;2022/23;WHJ;Region Klagenfurt;14452;25629
2022;11;2022/23;WHJ;Region Villach;20233;67403
2022;11;2022/23;WHJ;Wörthersee/Rosental;6798;16479
2022;12;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;30472;105665
2022;12;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;12391;49554
2022;12;2022/23;WHJ;Katschberg/Lieser- und Maltatal;13236;46506
2022;12;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;7780;33993
2022;12;2022/23;WHJ;Kärnten-Mitte;4455;28358
2022;12;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;29433;112212
2022;12;2022/23;WHJ;Region Klagenfurt;14246;25043
2022;12;2022/23;WHJ;Region Villach;28257;93941
2022;12;2022/23;WHJ;Wörthersee/Rosental;12048;26978
2022;2 ;2021/22;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;44156;197314
2022;2 ;2021/22;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;15627;69152
2022;2 ;2021/22;WHJ;Katschberg/Lieser- und Maltatal;13697;60488
2022;2 ;2021/22;WHJ;Klopeiner See – Südkärnten/Lavanttal;6890;35333
2022;2 ;2021/22;WHJ;Kärnten-Mitte;2947;24809
2022;2 ;2021/22;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;50545;232944
2022;2 ;2021/22;WHJ;Region Klagenfurt;7739;15420
2022;2 ;2021/22;WHJ;Region Villach;19983;82303
2022;2 ;2021/22;WHJ;Wörthersee/Rosental;3720;11487
2022;3 ;2021/22;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;26407;130356
2022;3 ;2021/22;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;11370;59614
2022;3 ;2021/22;WHJ;Katschberg/Lieser- und Maltatal;8622;45630
2022;3 ;2021/22;WHJ;Klopeiner See – Südkärnten/Lavanttal;5991;31045
2022;3 ;2021/22;WHJ;Kärnten-Mitte;4362;26887
2022;3 ;2021/22;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;27613;147673
2022;3 ;2021/22;WHJ;Region Klagenfurt;10717;21661
2022;3 ;2021/22;WHJ;Region Villach;18923;76481
2022;3 ;2021/22;WHJ;Wörthersee/Rosental;4612;15925
2022;4 ;2021/22;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;15975;52877
2022;4 ;2021/22;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;6959;30115
2022;4 ;2021/22;WHJ;Katschberg/Lieser- und Maltatal;1689;5968
2022;4 ;2021/22;WHJ;Klopeiner See – Südkärnten/Lavanttal;9370;35886
2022;4 ;2021/22;WHJ;Kärnten-Mitte;5940;32333
2022;4 ;2021/22;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;8880;38254
2022;4 ;2021/22;WHJ;Region Klagenfurt;14964;28820
2022;4 ;2021/22;WHJ;Region Villach;22398;71830
2022;4 ;2021/22;WHJ;Wörthersee/Rosental;15533;38816
2022;5 ;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;36928;117189
2022;5 ;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;12107;35518
2022;5 ;2021/22;SHJ;Katschberg/Lieser- und Maltatal;5976;16315
2022;5 ;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;22287;133088
2022;5 ;2021/22;SHJ;Kärnten-Mitte;8751;39395
2022;5 ;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;18552;65718
2022;5 ;2021/22;SHJ;Region Klagenfurt;22395;44471
2022;5 ;2021/22;SHJ;Region Villach;59521;186548
2022;5 ;2021/22;SHJ;Wörthersee/Rosental;51310;163978
2022;6 ;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;71312;270971
2022;6 ;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;30325;90726
2022;6 ;2021/22;SHJ;Katschberg/Lieser- und Maltatal;18083;64109
2022;6 ;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;37617;229478
2022;6 ;2021/22;SHJ;Kärnten-Mitte;11839;54136
2022;6 ;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;47246;208022
2022;6 ;2021/22;SHJ;Region Klagenfurt;25811;55360
2022;6 ;2021/22;SHJ;Region Villach;99384;360576
2022;6 ;2021/22;SHJ;Wörthersee/Rosental;73256;277723
2022;7 ;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;99638;448279
2022;7 ;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;55357;197821
2022;7 ;2021/22;SHJ;Katschberg/Lieser- und Maltatal;29245;108735
2022;7 ;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;57152;333379
2022;7 ;2021/22;SHJ;Kärnten-Mitte;15501;78305
2022;7 ;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;73704;385727
2022;7 ;2021/22;SHJ;Region Klagenfurt;33716;86069
2022;7 ;2021/22;SHJ;Region Villach;138840;586868
2022;7 ;2021/22;SHJ;Wörthersee/Rosental;100551;456033
2022;8 ;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;104662;534645
2022;8 ;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;60159;241309
2022;8 ;2021/22;SHJ;Katschberg/Lieser- und Maltatal;31442;134998
2022;8 ;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;55479;360465
2022;8 ;2021/22;SHJ;Kärnten-Mitte;15073;81831
2022;8 ;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;78046;471501
2022;8 ;2021/22;SHJ;Region Klagenfurt;36962;92549
2022;8 ;2021/22;SHJ;Region Villach;144216;672740
2022;8 ;2021/22;SHJ;Wörthersee/Rosental;98587;482216
2022;9 ;2021/22;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;57887;225684
2022;9 ;2021/22;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;22218;74146
2022;9 ;2021/22;SHJ;Katschberg/Lieser- und Maltatal;15712;54765
2022;9 ;2021/22;SHJ;Klopeiner See – Südkärnten/Lavanttal;23932;161879
2022;9 ;2021/22;SHJ;Kärnten-Mitte;10387;46664
2022;9 ;2021/22;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;35094;166671
2022;9 ;2021/22;SHJ;Region Klagenfurt;24793;51988
2022;9 ;2021/22;SHJ;Region Villach;81215;288479
2022;9 ;2021/22;SHJ;Wörthersee/Rosental;54545;209536
2023;1 ;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;44623;198121
2023;1 ;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;17663;89698
2023;1 ;2022/23;WHJ;Katschberg/Lieser- und Maltatal;13321;61702
2023;1 ;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;8124;40237
2023;1 ;2022/23;WHJ;Kärnten-Mitte;3952;30880
2023;1 ;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;53467;256325
2023;1 ;2022/23;WHJ;Region Klagenfurt;10045;17851
2023;1 ;2022/23;WHJ;Region Villach;29934;117391
2023;1 ;2022/23;WHJ;Wörthersee/Rosental;5269;15592
2023;10;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;25029;86734
2023;10;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;7312;27882
2023;10;2022/23;SHJ;Katschberg/Lieser- und Maltatal;11592;46081
2023;10;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;11044;44789
2023;10;2022/23;SHJ;Kärnten-Mitte;6908;36464
2023;10;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;13383;57722
2023;10;2022/23;SHJ;Region Klagenfurt;16562;32624
2023;10;2022/23;SHJ;Region Villach;35998;121877
2023;10;2022/23;SHJ;Wörthersee/Rosental;19405;48711
2023;11;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;9260;25561
2023;11;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;4167;16425
2023;11;2023/24;WHJ;Katschberg/Lieser- und Maltatal;2099;7599
2023;11;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;6578;27684
2023;11;2023/24;WHJ;Kärnten-Mitte;4636;27773
2023;11;2023/24;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;3476;14842
2023;11;2023/24;WHJ;Region Klagenfurt;12968;24774
2023;11;2023/24;WHJ;Region Villach;20221;68308
2023;11;2023/24;WHJ;Wörthersee/Rosental;7712;17828
2023;12;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;32676;109621
2023;12;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;13752;53544
2023;12;2023/24;WHJ;Katschberg/Lieser- und Maltatal;13995;49430
2023;12;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;8289;34034
2023;12;2023/24;WHJ;Kärnten-Mitte;4481;28164
2023;12;2023/24;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;33513;130252
2023;12;2023/24;WHJ;Region Klagenfurt;14599;26015
2023;12;2023/24;WHJ;Region Villach;30709;96044
2023;12;2023/24;WHJ;Wörthersee/Rosental;12691;27065
2023;2 ;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;56304;264850
2023;2 ;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;24099;118123
2023;2 ;2022/23;WHJ;Katschberg/Lieser- und Maltatal;16920;77507
2023;2 ;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;9878;48766
2023;2 ;2022/23;WHJ;Kärnten-Mitte;4436;31556
2023;2 ;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;59944;301620
2023;2 ;2022/23;WHJ;Region Klagenfurt;11502;20487
2023;2 ;2022/23;WHJ;Region Villach;31963;128022
2023;2 ;2022/23;WHJ;Wörthersee/Rosental;5693;14068
2023;3 ;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;29956;125944
2023;3 ;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;14287;71758
2023;3 ;2022/23;WHJ;Katschberg/Lieser- und Maltatal;10421;45421
2023;3 ;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;7540;36518
2023;3 ;2022/23;WHJ;Kärnten-Mitte;4159;28931
2023;3 ;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;30913;154542
2023;3 ;2022/23;WHJ;Region Klagenfurt;14168;26475
2023;3 ;2022/23;WHJ;Region Villach;23559;85603
2023;3 ;2022/23;WHJ;Wörthersee/Rosental;7631;18184
2023;4 ;2022/23;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;18925;61445
2023;4 ;2022/23;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;8221;35224
2023;4 ;2022/23;WHJ;Katschberg/Lieser- und Maltatal;3801;15437
2023;4 ;2022/23;WHJ;Klopeiner See – Südkärnten/Lavanttal;10904;44125
2023;4 ;2022/23;WHJ;Kärnten-Mitte;6715;35929
2023;4 ;2022/23;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;9007;40900
2023;4 ;2022/23;WHJ;Region Klagenfurt;19124;35979
2023;4 ;2022/23;WHJ;Region Villach;28379;86288
2023;4 ;2022/23;WHJ;Wörthersee/Rosental;18843;43449
2023;5 ;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;40624;130821
2023;5 ;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;14492;45772
2023;5 ;2022/23;SHJ;Katschberg/Lieser- und Maltatal;9477;27490
2023;5 ;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;21320;134357
2023;5 ;2022/23;SHJ;Kärnten-Mitte;8255;40747
2023;5 ;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;20174;73416
2023;5 ;2022/23;SHJ;Region Klagenfurt;21696;42996
2023;5 ;2022/23;SHJ;Region Villach;59920;178991
2023;5 ;2022/23;SHJ;Wörthersee/Rosental;43132;135223
2023;6 ;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;70841;267660
2023;6 ;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;31885;94272
2023;6 ;2022/23;SHJ;Katschberg/Lieser- und Maltatal;17821;65807
2023;6 ;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;35296;218153
2023;6 ;2022/23;SHJ;Kärnten-Mitte;11281;50959
2023;6 ;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;41015;185173
2023;6 ;2022/23;SHJ;Region Klagenfurt;27390;63827
2023;6 ;2022/23;SHJ;Region Villach;93438;332758
2023;6 ;2022/23;SHJ;Wörthersee/Rosental;70054;254762
2023;7 ;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;99535;448879
2023;7 ;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;56860;200719
2023;7 ;2022/23;SHJ;Katschberg/Lieser- und Maltatal;28891;111222
2023;7 ;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;55303;332759
2023;7 ;2022/23;SHJ;Kärnten-Mitte;14894;77931
2023;7 ;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;72818;383905
2023;7 ;2022/23;SHJ;Region Klagenfurt;36339;82164
2023;7 ;2022/23;SHJ;Region Villach;140575;593441
2023;7 ;2022/23;SHJ;Wörthersee/Rosental;98971;426058
2023;8 ;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;99631;501278
2023;8 ;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;56488;226945
2023;8 ;2022/23;SHJ;Katschberg/Lieser- und Maltatal;30053;130836
2023;8 ;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;49782;331120
2023;8 ;2022/23;SHJ;Kärnten-Mitte;14738;77182
2023;8 ;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;73492;436304
2023;8 ;2022/23;SHJ;Region Klagenfurt;32716;83028
2023;8 ;2022/23;SHJ;Region Villach;138651;621975
2023;8 ;2022/23;SHJ;Wörthersee/Rosental;88583;421440
2023;9 ;2022/23;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;61164;222253
2023;9 ;2022/23;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;26683;77009
2023;9 ;2022/23;SHJ;Katschberg/Lieser- und Maltatal;18463;57446
2023;9 ;2022/23;SHJ;Klopeiner See – Südkärnten/Lavanttal;24156;162723
2023;9 ;2022/23;SHJ;Kärnten-Mitte;9943;43658
2023;9 ;2022/23;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;38186;164215
2023;9 ;2022/23;SHJ;Region Klagenfurt;23454;49704
2023;9 ;2022/23;SHJ;Region Villach;83998;288345
2023;9 ;2022/23;SHJ;Wörthersee/Rosental;52783;184585
2024;1 ;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;46258;206236
2024;1 ;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;16670;86141
2024;1 ;2023/24;WHJ;Katschberg/Lieser- und Maltatal;14433;65829
2024;1 ;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;8985;43981
2024;1 ;2023/24;WHJ;Kärnten-Mitte;4369;31742
2024;1 ;2023/24;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;54897;272284
2024;1 ;2023/24;WHJ;Region Klagenfurt;10339;19024
2024;1 ;2023/24;WHJ;Region Villach;28995;112801
2024;1 ;2023/24;WHJ;Wörthersee/Rosental;5121;15403
2024;10;2023/24;SHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;25582;88280
2024;10;2023/24;SHJ;Hohe Tauern – die Nationalpark Region in Kärnten;7018;26471
2024;10;2023/24;SHJ;Katschberg/Lieser- und Maltatal;11416;44048
2024;10;2023/24;SHJ;Klopeiner See – Südkärnten/Lavanttal;10690;44758
2024;10;2023/24;SHJ;Kärnten-Mitte;7353;36235
2024;10;2023/24;SHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;13460;58401
2024;10;2023/24;SHJ;Region Klagenfurt;17082;32815
2024;10;2023/24;SHJ;Region Villach;35807;118142
2024;10;2023/24;SHJ;Wörthersee/Rosental;17466;46991
2024;11;2024/25;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;9477;25228
2024;11;2024/25;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;4334;13889
2024;11;2024/25;WHJ;Katschberg/Lieser- und Maltatal;1404;5292
2024;11;2024/25;WHJ;Klopeiner See – Südkärnten/Lavanttal;5859;27895
2024;11;2024/25;WHJ;Kärnten-Mitte;4534;28204
2024;11;2024/25;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;3663;15362
2024;11;2024/25;WHJ;Region Klagenfurt;14340;26461
2024;11;2024/25;WHJ;Region Villach;24520;71988
2024;11;2024/25;WHJ;Wörthersee/Rosental;10533;21710
2024;12;2024/25;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;33226;120029
2024;12;2024/25;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;14922;59860
2024;12;2024/25;WHJ;Katschberg/Lieser- und Maltatal;14266;54703
2024;12;2024/25;WHJ;Klopeiner See – Südkärnten/Lavanttal;8357;36615
2024;12;2024/25;WHJ;Kärnten-Mitte;4743;28952
2024;12;2024/25;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;35313;145438
2024;12;2024/25;WHJ;Region Klagenfurt;14589;25291
2024;12;2024/25;WHJ;Region Villach;34486;105609
2024;12;2024/25;WHJ;Wörthersee/Rosental;13634;29107
2024;2 ;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;57868;275349
2024;2 ;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;26266;130303
2024;2 ;2023/24;WHJ;Katschberg/Lieser- und Maltatal;17218;83339
2024;2 ;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;11745;55596
2024;2 ;2023/24;WHJ;Kärnten-Mitte;4708;32406
2024;2 ;2023/24;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;63321;321808
2024;2 ;2023/24;WHJ;Region Klagenfurt;11261;21059
2024;2 ;2023/24;WHJ;Region Villach;35903;139907
2024;2 ;2023/24;WHJ;Wörthersee/Rosental;5289;13800
2024;3 ;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;32138;130091
2024;3 ;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;16911;75063
2024;3 ;2023/24;WHJ;Katschberg/Lieser- und Maltatal;11936;52776
2024;3 ;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;9351;43027
2024;3 ;2023/24;WHJ;Kärnten-Mitte;4636;30200
2024;3 ;2023/24;WHJ;Nassfeld – Pressegger See/Lesachtal/Weissensee;32734;151989
2024;3 ;2023/24;WHJ;Region Klagenfurt;13265;25138
2024;3 ;2023/24;WHJ;Region Villach;25857;89772
2024;3 ;2023/24;WHJ;Wörthersee/Rosental;10209;23850
2024;4 ;2023/24;WHJ;Bad Kleinkirchheim/Millstätter See/Nockberge;11890;35207
2024;4 ;2023/24;WHJ;Hohe Tauern – die Nationalpark Region in Kärnten;6197;22579
2024;4 ;2023/24;WHJ;Katschberg/Lieser- und Maltatal;1058;3277
2024;4 ;2023/24;WHJ;Klopeiner See – Südkärnten/Lavanttal;10637;44560
2024;4 ;2023/24;WHJ;Kärnten-Mitte;5842;30820
