Jahr;Tourismushalbjahr;Tourismusregion;Unterkunft;Art;Anzahl
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Private u. öffentl. Kurheime;Betriebe;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Private u. öffentl. Kurheime;Betten;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Private u. öffentl. Kurheime;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Private u. öffentl. Kurheime;Zusatzbetten;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere auf Bauernhof;Betriebe;237
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere auf Bauernhof;Betten;1469
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere auf Bauernhof;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere auf Bauernhof;Zusatzbetten;109
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere nicht auf Bauernhof;Betriebe;619
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere nicht auf Bauernhof;Betten;3934
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere nicht auf Bauernhof;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Privatquartiere nicht auf Bauernhof;Zusatzbetten;236
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Sonstige Fremdenunterkunft;Betriebe;28
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Sonstige Fremdenunterkunft;Betten;685
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Sonstige Fremdenunterkunft;Zimmer;0
1998;Sommer;Bad Kleinkirchheim/Millstätter See/Nockberge;Sonstige Fremdenunterkunft;Zusatzbetten;85
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Bewirtschaftete Schutzhütten;Betriebe;19
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Bewirtschaftete Schutzhütten;Betten;352
